experiment,sub_experiment,script,model_name,seed,text_tag,input_text,speaking_rate,output_path,sample_rate_saved,waveform_num_samples,waveform_duration_sec,waveform_rms,generation_time_sec,timestamp
exp6_mms_tts,6A,GA20G,facebook/mms-tts-eng,42,hello_dog,"Hello, my dog is cute.",1.0,hw14_experiments/group_b_structured_tts/exp6_mms_tts/ga20g_exp6a_hello_dog_seed42.wav,16000,34048,2.128,0.10933960974216461,0.3559313310000789,2026-04-04 06:55:53
exp6_mms_tts,6A,GA20G,facebook/mms-tts-eng,123,hello_dog,"Hello, my dog is cute.",1.0,hw14_experiments/group_b_structured_tts/exp6_mms_tts/ga20g_exp6a_hello_dog_seed123.wav,16000,35072,2.192,0.11132844537496567,0.3611912400000392,2026-04-04 06:55:54
exp6_mms_tts,6A,GA20G,facebook/mms-tts-eng,555,hello_dog,"Hello, my dog is cute.",1.0,hw14_experiments/group_b_structured_tts/exp6_mms_tts/ga20g_exp6a_hello_dog_seed555.wav,16000,33280,2.08,0.10409020632505417,0.3421969620000027,2026-04-04 06:55:54
exp6_mms_tts,6A,GA20G,facebook/mms-tts-eng,42,banking_request,I need to transfer money from savings to checking today.,1.0,hw14_experiments/group_b_structured_tts/exp6_mms_tts/ga20g_exp6a_banking_request_seed42.wav,16000,66560,4.16,0.11237908899784088,0.5687796470000421,2026-04-04 06:55:55
exp6_mms_tts,6A,GA20G,facebook/mms-tts-eng,123,banking_request,I need to transfer money from savings to checking today.,1.0,hw14_experiments/group_b_structured_tts/exp6_mms_tts/ga20g_exp6a_banking_request_seed123.wav,16000,60672,3.792,0.11583128571510315,0.5206813980000788,2026-04-04 06:55:55
exp6_mms_tts,6A,GA20G,facebook/mms-tts-eng,555,banking_request,I need to transfer money from savings to checking today.,1.0,hw14_experiments/group_b_structured_tts/exp6_mms_tts/ga20g_exp6a_banking_request_seed555.wav,16000,65024,4.064,0.11319718509912491,0.5298889740000732,2026-04-04 06:55:56
exp6_mms_tts,6B,GA20G,facebook/mms-tts-eng,555,hello_dog,"Hello, my dog is cute.",0.8,hw14_experiments/group_b_structured_tts/exp6_mms_tts/ga20g_exp6b_hello_dog_rate0p8_seed555.wav,16000,38656,2.416,0.1072525903582573,0.5200400890000765,2026-04-04 06:55:56
exp6_mms_tts,6B,GA20G,facebook/mms-tts-eng,555,hello_dog,"Hello, my dog is cute.",1.0,hw14_experiments/group_b_structured_tts/exp6_mms_tts/ga20g_exp6b_hello_dog_rate1p0_seed555.wav,16000,33280,2.08,0.10409020632505417,0.3449263649999921,2026-04-04 06:55:57
exp6_mms_tts,6B,GA20G,facebook/mms-tts-eng,555,hello_dog,"Hello, my dog is cute.",1.2,hw14_experiments/group_b_structured_tts/exp6_mms_tts/ga20g_exp6b_hello_dog_rate1p2_seed555.wav,16000,28416,1.776,0.11143416911363602,0.4423383280000053,2026-04-04 06:55:57
exp6_mms_tts,6B,GA20G,facebook/mms-tts-eng,555,banking_request,I need to transfer money from savings to checking today.,0.8,hw14_experiments/group_b_structured_tts/exp6_mms_tts/ga20g_exp6b_banking_request_rate0p8_seed555.wav,16000,74240,4.64,0.11067306995391846,0.8789175450000357,2026-04-04 06:55:58
exp6_mms_tts,6B,GA20G,facebook/mms-tts-eng,555,banking_request,I need to transfer money from savings to checking today.,1.0,hw14_experiments/group_b_structured_tts/exp6_mms_tts/ga20g_exp6b_banking_request_rate1p0_seed555.wav,16000,65024,4.064,0.11319718509912491,0.5468667729999197,2026-04-04 06:55:59
exp6_mms_tts,6B,GA20G,facebook/mms-tts-eng,555,banking_request,I need to transfer money from savings to checking today.,1.2,hw14_experiments/group_b_structured_tts/exp6_mms_tts/ga20g_exp6b_banking_request_rate1p2_seed555.wav,16000,57856,3.616,0.11259028315544128,0.5759605100000726,2026-04-04 06:55:59
